AwardsRowID,awardName,year,leagueID,personID,pointsWon,pointsMax,votesFirst,tie,notes,isShared
24,Baseball Magazine All-Star,1908,AL,crawfsa01,NULL,NULL,NULL,NULL,CF,N
25,Baseball Magazine All-Star,1908,AL,crigelo01,NULL,NULL,NULL,NULL,C,N
26,Baseball Magazine All-Star,1908,ML,devliar01,NULL,NULL,NULL,NULL,3B,N
27,Baseball Magazine All-Star,1908,NL,devliar01,NULL,NULL,NULL,NULL,3B,N
28,Baseball Magazine All-Star,1908,ML,donlimi01,NULL,NULL,NULL,NULL,CF,N
29,Baseball Magazine All-Star,1908,NL,donlimi01,NULL,NULL,NULL,NULL,CF,N
30,Baseball Magazine All-Star,1908,AL,donovbi01,NULL,NULL,NULL,NULL,P5,N
31,Baseball Magazine All-Star,1908,NL,eversjo01,NULL,NULL,NULL,NULL,2B,N
32,Baseball Magazine All-Star,1908,AL,jossad01,NULL,NULL,NULL,NULL,P4,N
33,Baseball Magazine All-Star,1908,ML,klingjo01,NULL,NULL,NULL,NULL,C,N
34,Baseball Magazine All-Star,1908,NL,klingjo01,NULL,NULL,NULL,NULL,C,N
35,Baseball Magazine All-Star,1908,AL,lajoina01,NULL,NULL,NULL,NULL,2B,N
36,Baseball Magazine All-Star,1908,ML,lajoina01,NULL,NULL,NULL,NULL,2B,N
37,Baseball Magazine All-Star,1908,AL,lordha01,NULL,NULL,NULL,NULL,3B,N
38,Baseball Magazine All-Star,1908,ML,mathech01,NULL,NULL,NULL,NULL,P2,N
39,Baseball Magazine All-Star,1908,NL,mathech01,NULL,NULL,NULL,NULL,P2,N
40,Pitching Triple Crown,1908,NL,mathech01,NULL,NULL,NULL,NULL,NULL,N
41,Baseball Magazine All-Star,1908,NL,reulbed01,NULL,NULL,NULL,NULL,P5,N
42,Baseball Magazine All-Star,1908,ML,ruckena01,NULL,NULL,NULL,NULL,P5,N
43,Baseball Magazine All-Star,1908,NL,ruckena01,NULL,NULL,NULL,NULL,P3,N
44,Baseball Magazine All-Star,1908,NL,schulfr01,NULL,NULL,NULL,NULL,RF,N
45,Baseball Magazine All-Star,1908,AL,stonege01,NULL,NULL,NULL,NULL,LF,N
46,Baseball Magazine All-Star,1908,AL,sullibi03,NULL,NULL,NULL,NULL,C,N
47,Baseball Magazine All-Star,1908,NL,tennefr02,NULL,NULL,NULL,NULL,1B,N
48,Baseball Magazine All-Star,1908,AL,wadderu01,NULL,NULL,NULL,NULL,P3,N
49,Baseball Magazine All-Star,1908,ML,wagneho01,NULL,NULL,NULL,NULL,SS,N
50,Baseball Magazine All-Star,1908,NL,wagneho01,NULL,NULL,NULL,NULL,SS,N
51,Baseball Magazine All-Star,1908,AL,wallabo01,NULL,NULL,NULL,NULL,SS,N
52,Baseball Magazine All-Star,1908,AL,walshed01,NULL,NULL,NULL,NULL,P1,N
53,Baseball Magazine All-Star,1908,ML,walshed01,NULL,NULL,NULL,NULL,P1,N
54,Baseball Magazine All-Star,1908,NL,willivi01,NULL,NULL,NULL,NULL,P4,N
55,Baseball Magazine All-Star,1908,AL,youngcy01,NULL,NULL,NULL,NULL,P2,N
56,Baseball Magazine All-Star,1908,ML,youngcy01,NULL,NULL,NULL,NULL,P3,N
57,Baseball Magazine All-Star,1909,ML,adamsba01,NULL,NULL,NULL,NULL,P4,N
58,Baseball Magazine All-Star,1909,NL,adamsba01,NULL,NULL,NULL,NULL,P5,N
59,Baseball Magazine All-Star,1909,NL,bresnro01,NULL,NULL,NULL,NULL,C3,N
60,Baseball Magazine All-Star,1909,ML,brownmo01,NULL,NULL,NULL,NULL,P3,N
61,Baseball Magazine All-Star,1909,NL,brownmo01,NULL,NULL,NULL,NULL,P2,N
62,Baseball Magazine All-Star,1909,AL,bushdo01,NULL,NULL,NULL,NULL,SS,N
63,Baseball Magazine All-Star,1909,NL,camniho01,NULL,NULL,NULL,NULL,P4,N
64,Baseball Magazine All-Star,1909,AL,carribi02,NULL,NULL,NULL,NULL,C1,N
65,Baseball Magazine All-Star,1909,ML,carribi02,NULL,NULL,NULL,NULL,C2,N
66,Baseball Magazine All-Star,1909,NL,chancfr01,NULL,NULL,NULL,NULL,1B,N
67,Baseball Magazine All-Star,1909,AL,chaseha01,NULL,NULL,NULL,NULL,1B,N
68,Baseball Magazine All-Star,1909,ML,chaseha01,NULL,NULL,NULL,NULL,1B,N
69,Baseball Magazine All-Star,1909,ML,clarkfr01,NULL,NULL,NULL,NULL,LF,N
70,Baseball Magazine All-Star,1909,NL,clarkfr01,NULL,NULL,NULL,NULL,LF,N
71,Baseball Magazine All-Star,1909,AL,cobbty01,NULL,NULL,NULL,NULL,RF,N
72,Baseball Magazine All-Star,1909,ML,cobbty01,NULL,NULL,NULL,NULL,RF,N
73,Triple Crown,1909,AL,cobbty01,NULL,NULL,NULL,NULL,NULL,N
74,Baseball Magazine All-Star,1909,AL,collied01,NULL,NULL,NULL,NULL,2B,N
75,Baseball Magazine All-Star,1909,ML,collied01,NULL,NULL,NULL,NULL,2B,N
76,Baseball Magazine All-Star,1909,AL,crawfsa01,NULL,NULL,NULL,NULL,LF,N
77,Baseball Magazine All-Star,1909,NL,devliar01,NULL,NULL,NULL,NULL,3B,N
78,Baseball Magazine All-Star,1909,NL,eversjo01,NULL,NULL,NULL,NULL,2B,N
79,Baseball Magazine All-Star,1909,ML,gibsoge01,NULL,NULL,NULL,NULL,C3,N
80,Baseball Magazine All-Star,1909,NL,gibsoge01,NULL,NULL,NULL,NULL,C2,N
81,Baseball Magazine All-Star,1909,NL,hofmaso01,NULL,NULL,NULL,NULL,RF,N
82,Baseball Magazine All-Star,1909,AL,johnswa01,NULL,NULL,NULL,NULL,P3,N
83,Baseball Magazine All-Star,1909,ML,johnswa01,NULL,NULL,NULL,NULL,P6,N
84,Baseball Magazine All-Star,1909,ML,klingjo01,NULL,NULL,NULL,NULL,C1,N
85,Baseball Magazine All-Star,1909,NL,klingjo01,NULL,NULL,NULL,NULL,C1,N
86,Baseball Magazine All-Star,1909,NL,leachto01,NULL,NULL,NULL,NULL,CF,N
87,Baseball Magazine All-Star,1909,AL,lordha01,NULL,NULL,NULL,NULL,3B,N
88,Baseball Magazine All-Star,1909,ML,lordha01,NULL,NULL,NULL,NULL,3B,N
89,Baseball Magazine All-Star,1909,ML,mathech01,NULL,NULL,NULL,NULL,P1,N
90,Baseball Magazine All-Star,1909,NL,mathech01,NULL,NULL,NULL,NULL,P1,N
91,Baseball Magazine All-Star,1909,AL,mullige01,NULL,NULL,NULL,NULL,P4,N
92,Baseball Magazine All-Star,1909,AL,planked01,NULL,NULL,NULL,NULL,P2,N
93,Baseball Magazine All-Star,1909,ML,planked01,NULL,NULL,NULL,NULL,P5,N
94,Baseball Magazine All-Star,1909,NL,reulbed01,NULL,NULL,NULL,NULL,P3,N
95,Baseball Magazine All-Star,1909,AL,speaktr01,NULL,NULL,NULL,NULL,CF,N
96,Baseball Magazine All-Star,1909,ML,speaktr01,NULL,NULL,NULL,NULL,CF,N
97,Baseball Magazine All-Star,1909,AL,streega01,NULL,NULL,NULL,NULL,C3,N
98,Baseball Magazine All-Star,1909,AL,sullibi03,NULL,NULL,NULL,NULL,C2,N
99,Baseball Magazine All-Star,1909,ML,wagneho01,NULL,NULL,NULL,NULL,SS,N
100,Baseball Magazine All-Star,1909,NL,wagneho01,NULL,NULL,NULL,NULL,SS,N
101,Baseball Magazine All-Star,1909,AL,walshed01,NULL,NULL,NULL,NULL,P1,N
102,Baseball Magazine All-Star,1909,ML,walshed01,NULL,NULL,NULL,NULL,P2,N
103,Baseball Magazine All-Star,1909,AL,woodjo02,NULL,NULL,NULL,NULL,P5,N
104,Baseball Magazine All-Star,1910,ML,archeji01,NULL,NULL,NULL,NULL,C2,N
105,Baseball Magazine All-Star,1910,NL,archeji01,NULL,NULL,NULL,NULL,C2,N
106,Baseball Magazine All-Star,1910,AL,bendech01,NULL,NULL,NULL,NULL,P3,N
107,Baseball Magazine All-Star,1910,ML,bendech01,NULL,NULL,NULL,NULL,P4,N
108,Baseball Magazine All-Star,1910,NL,chancfr01,NULL,NULL,NULL,NULL,1B,N
109,Baseball Magazine All-Star,1910,AL,chaseha01,NULL,NULL,NULL,NULL,1B,N
110,Baseball Magazine All-Star,1910,ML,chaseha01,NULL,NULL,NULL,NULL,1B,N
111,Baseball Magazine All-Star,1910,AL,cobbty01,NULL,NULL,NULL,NULL,RF,N
112,Baseball Magazine All-Star,1910,ML,cobbty01,NULL,NULL,NULL,NULL,RF,N
113,Baseball Magazine All-Star,1910,NL,coleki01,NULL,NULL,NULL,NULL,P3,N
114,Baseball Magazine All-Star,1910,AL,coombja01,NULL,NULL,NULL,NULL,P2,N
115,Baseball Magazine All-Star,1910,ML,coombja01,NULL,NULL,NULL,NULL,P3,N
116,Baseball Magazine All-Star,1910,ML,devliar01,NULL,NULL,NULL,NULL,3B,N
117,Baseball Magazine All-Star,1910,NL,devliar01,NULL,NULL,NULL,NULL,3B,N
118,Baseball Magazine All-Star,1910,NL,eversjo01,NULL,NULL,NULL,NULL,2B,N
119,Baseball Magazine All-Star,1910,ML,gibsoge01,NULL,NULL,NULL,NULL,C1,N
120,Baseball Magazine All-Star,1910,NL,gibsoge01,NULL,NULL,NULL,NULL,C1,N
121,Baseball Magazine All-Star,1910,ML,johnswa01,NULL,NULL,NULL,NULL,P5,N
122,Baseball Magazine All-Star,1910,AL,lajoina01,NULL,NULL,NULL,NULL,2B,N
123,Baseball Magazine All-Star,1910,ML,lajoina01,NULL,NULL,NULL,NULL,2B,N
124,Baseball Magazine All-Star,1910,NL,leachto01,NULL,NULL,NULL,NULL,CF,N
125,Baseball Magazine All-Star,1910,AL,lordha01,NULL,NULL,NULL,NULL,3B,N
126,Baseball Magazine All-Star,1910,ML,mageesh01,NULL,NULL,NULL,NULL,LF,N
127,Baseball Magazine All-Star,1910,NL,mageesh01,NULL,NULL,NULL,NULL,LF,N
128,Baseball Magazine All-Star,1910,ML,mathech01,NULL,NULL,NULL,NULL,P2,N
129,Baseball Magazine All-Star,1910,NL,mathech01,NULL,NULL,NULL,NULL,P1,N
130,Baseball Magazine All-Star,1910,NL,ruckena01,NULL,NULL,NULL,NULL,P2,N
131,Baseball Magazine All-Star,1910,NL,schulfr01,NULL,NULL,NULL,NULL,RF,N
132,Baseball Magazine All-Star,1910,AL,speaktr01,NULL,NULL,NULL,NULL,CF,N
133,Baseball Magazine All-Star,1910,ML,speaktr01,NULL,NULL,NULL,NULL,CF,N
134,Baseball Magazine All-Star,1910,AL,stonege01,NULL,NULL,NULL,NULL,LF,N
135,Baseball Magazine All-Star,1910,AL,sweened01,NULL,NULL,NULL,NULL,C2,N
136,Baseball Magazine All-Star,1910,AL,thomair01,NULL,NULL,NULL,NULL,C1,N
137,Baseball Magazine All-Star,1910,ML,wagneho01,NULL,NULL,NULL,NULL,SS,N
138,Baseball Magazine All-Star,1910,NL,wagneho01,NULL,NULL,NULL,NULL,SS,N
139,Baseball Magazine All-Star,1910,AL,wallabo01,NULL,NULL,NULL,NULL,SS,N
140,Baseball Magazine All-Star,1910,AL,walshed01,NULL,NULL,NULL,NULL,P1,N
141,Baseball Magazine All-Star,1910,ML,walshed01,NULL,NULL,NULL,NULL,P1,N
142,MVP,1911,NL,adamsba01,1.0,64.0,0.0,NULL,NULL,Y
143,Baseball Magazine All-Star,1911,ML,alexape01,NULL,NULL,NULL,NULL,P3,N
144,Baseball Magazine All-Star,1911,NL,alexape01,NULL,NULL,NULL,NULL,P3,N
145,MVP,1911,NL,alexape01,23.0,64.0,NULL,NULL,NULL,Y
146,Baseball Magazine All-Star,1911,NL,archeji01,NULL,NULL,NULL,NULL,C4,N
147,MVP,1911,NL,archeji01,5.0,64.0,0.0,NULL,NULL,Y
148,MVP,1911,AL,austiji01,2.0,64.0,0.0,NULL,NULL,Y
149,Baseball Magazine All-Star,1911,AL,bakerfr01,NULL,NULL,NULL,NULL,3B,N
150,Baseball Magazine All-Star,1911,ML,bakerfr01,NULL,NULL,NULL,NULL,3B,N
151,MVP,1911,AL,bakerfr01,8.0,64.0,0.0,NULL,NULL,Y
152,MVP,1911,AL,barryja01,3.0,64.0,0.0,NULL,NULL,Y
153,Baseball Magazine All-Star,1911,AL,bendech01,NULL,NULL,NULL,NULL,P4,N
154,MVP,1911,NL,beschbo01,4.0,64.0,0.0,NULL,NULL,Y
155,Baseball Magazine All-Star,1911,ML,bresnro01,NULL,NULL,NULL,NULL,C1,N
156,Baseball Magazine All-Star,1911,NL,bresnro01,NULL,NULL,NULL,NULL,C1,N
157,MVP,1911,NL,brownmo01,4.0,64.0,0.0,NULL,NULL,Y
158,Baseball Magazine All-Star,1911,AL,bushdo01,NULL,NULL,NULL,NULL,SS,N
159,MVP,1911,AL,bushdo01,4.0,64.0,0.0,NULL,NULL,Y
160,Baseball Magazine All-Star,1911,AL,carribi02,NULL,NULL,NULL,NULL,C2,N
161,Baseball Magazine All-Star,1911,AL,chaseha01,NULL,NULL,NULL,NULL,1B,N
162,Baseball Magazine All-Star,1911,ML,chaseha01,NULL,NULL,NULL,NULL,1B,N
163,Baseball Magazine All-Star,1911,ML,clarkfr01,NULL,NULL,NULL,NULL,LF,N
164,Baseball Magazine All-Star,1911,NL,clarkfr01,NULL,NULL,NULL,NULL,LF,N
165,Baseball Magazine All-Star,1911,AL,cobbty01,NULL,NULL,NULL,NULL,CF,N
166,Baseball Magazine All-Star,1911,ML,cobbty01,NULL,NULL,NULL,NULL,CF,N
167,Most Valuable Player,1911,AL,cobbty01,NULL,NULL,NULL,NULL,NULL,N
168,MVP,1911,AL,cobbty01,64.0,64.0,8.0,NULL,NULL,Y
169,Baseball Magazine All-Star,1911,AL,collied01,NULL,NULL,NULL,NULL,2B,N
170,Baseball Magazine All-Star,1911,ML,collied01,NULL,NULL,NULL,NULL,2B,N
171,MVP,1911,AL,collied01,32.0,64.0,0.0,NULL,NULL,Y
172,Baseball Magazine All-Star,1911,AL,coombja01,NULL,NULL,NULL,NULL,P5,N
173,MVP,1911,AL,coombja01,6.0,64.0,0.0,NULL,NULL,Y
174,Baseball Magazine All-Star,1911,AL,crawfsa01,NULL,NULL,NULL,NULL,LF,N
175,MVP,1911,AL,crawfsa01,4.0,64.0,0.0,NULL,NULL,Y
176,MVP,1911,AL,creebi01,16.0,64.0,0.0,NULL,NULL,Y
177,Baseball Magazine All-Star,1911,NL,daubeja01,NULL,NULL,NULL,NULL,1B,N
178,MVP,1911,NL,daubeja01,16.0,64.0,NULL,NULL,NULL,Y
179,MVP,1911,NL,devorjo01,2.0,64.0,0.0,NULL,NULL,Y
180,Baseball Magazine All-Star,1911,NL,donlimi01,NULL,NULL,NULL,NULL,CF,N
181,Baseball Magazine All-Star,1911,ML,dooinre01,NULL,NULL,NULL,NULL,C2,N
182,Baseball Magazine All-Star,1911,NL,dooinre01,NULL,NULL,NULL,NULL,C2,N
183,MVP,1911,NL,doolami01,6.0,64.0,0.0,NULL,NULL,Y
184,Baseball Magazine All-Star,1911,NL,doylela01,NULL,NULL,NULL,NULL,2B,N
185,MVP,1911,NL,doylela01,23.0,64.0,NULL,NULL,NULL,Y
186,MVP,1911,AL,fordru01,3.0,64.0,0.0,NULL,NULL,Y
187,MVP,1911,NL,gibsoge01,4.0,64.0,0.0,NULL,NULL,Y
188,Baseball Magazine All-Star,1911,AL,greggve01,NULL,NULL,NULL,NULL,P3,N
189,Baseball Magazine All-Star,1911,ML,greggve01,NULL,NULL,NULL,NULL,P4,N
190,MVP,1911,AL,greggve01,9.0,64.0,0.0,NULL,NULL,Y
191,MVP,1911,NL,harmobo01,6.0,64.0,0.0,NULL,NULL,Y
192,MVP,1911,NL,hoblidi01,2.0,64.0,0.0,NULL,NULL,Y
193,MVP,1911,NL,huggimi01,21.0,64.0,NULL,NULL,NULL,Y
194,Baseball Magazine All-Star,1911,AL,jacksjo01,NULL,NULL,NULL,NULL,RF,N
195,Baseball Magazine All-Star,1911,ML,jacksjo01,NULL,NULL,NULL,NULL,RF,N
196,MVP,1911,AL,jacksjo01,28.0,64.0,0.0,NULL,NULL,Y
197,Baseball Magazine All-Star,1911,AL,johnswa01,NULL,NULL,NULL,NULL,P1,N
198,Baseball Magazine All-Star,1911,ML,johnswa01,NULL,NULL,NULL,NULL,P2,N
199,MVP,1911,AL,johnswa01,19.0,64.0,0.0,NULL,NULL,Y
200,MVP,1911,NL,klingjo01,1.0,64.0,0.0,NULL,NULL,Y
201,MVP,1911,NL,knabeot01,2.0,64.0,0.0,NULL,NULL,Y
202,MVP,1911,AL,knighjo02,4.0,64.0,0.0,NULL,NULL,Y
203,MVP,1911,NL,koneted01,2.0,64.0,0.0,NULL,NULL,Y
204,MVP,1911,AL,lajoina01,5.0,64.0,0.0,NULL,NULL,Y
205,MVP,1911,AL,laporfr01,2.0,64.0,0.0,NULL,NULL,Y
206,Baseball Magazine All-Star,1911,NL,loberha01,NULL,NULL,NULL,NULL,3B,N
207,MVP,1911,NL,loberha01,4.0,64.0,0.0,NULL,NULL,Y
208,MVP,1911,AL,lordbr01,4.0,64.0,0.0,NULL,NULL,Y
209,MVP,1911,NL,luderfr01,1.0,64.0,0.0,NULL,NULL,Y
210,Baseball Magazine All-Star,1911,NL,marquru01,NULL,NULL,NULL,NULL,P2,N
211,MVP,1911,NL,marquru01,19.0,64.0,NULL,NULL,NULL,Y
212,Baseball Magazine All-Star,1911,ML,mathech01,NULL,NULL,NULL,NULL,P2,N
213,Baseball Magazine All-Star,1911,NL,mathech01,NULL,NULL,NULL,NULL,P1,N
214,MVP,1911,NL,mathech01,25.0,64.0,NULL,NULL,NULL,Y
215,MVP,1911,AL,mcbrige01,1.0,64.0,0.0,NULL,NULL,Y
216,MVP,1911,AL,mcinnst01,1.0,64.0,0.0,NULL,NULL,Y
217,MVP,1911,NL,merklfr01,19.0,64.0,NULL,NULL,NULL,Y
218,Baseball Magazine All-Star,1911,ML,meyerch01,NULL,NULL,NULL,NULL,C3,N
219,Baseball Magazine All-Star,1911,NL,meyerch01,NULL,NULL,NULL,NULL,C3,N
220,MVP,1911,NL,meyerch01,11.0,64.0,NULL,NULL,NULL,Y
221,MVP,1911,AL,milancl01,10.0,64.0,0.0,NULL,NULL,Y
222,MVP,1911,NL,mitchmi01,9.0,64.0,NULL,NULL,NULL,Y
223,Baseball Magazine All-Star,1911,ML,ruckena01,NULL,NULL,NULL,NULL,P5,N
224,Baseball Magazine All-Star,1911,NL,ruckena01,NULL,NULL,NULL,NULL,P4,N
225,MVP,1911,NL,ruckena01,1.0,64.0,0.0,NULL,NULL,Y
226,Baseball Magazine All-Star,1911,NL,schulfr01,NULL,NULL,NULL,NULL,RF,N
227,Most Valuable Player,1911,NL,schulfr01,NULL,NULL,NULL,NULL,NULL,N
228,MVP,1911,NL,schulfr01,29.0,64.0,NULL,NULL,NULL,Y
229,MVP,1911,NL,sheckji01,9.0,64.0,0.0,NULL,NULL,Y
230,MVP,1911,AL,speaktr01,16.0,64.0,0.0,NULL,NULL,Y
231,Baseball Magazine All-Star,1911,AL,stanaos01,NULL,NULL,NULL,NULL,C3,N
232,MVP,1911,NL,sweenbi02,3.0,64.0,0.0,NULL,NULL,Y
233,Baseball Magazine All-Star,1911,AL,thomair01,NULL,NULL,NULL,NULL,C1,N
234,Baseball Magazine All-Star,1911,ML,thomair01,NULL,NULL,NULL,NULL,C4,N
235,MVP,1911,AL,thomair01,12.0,64.0,0.0,NULL,NULL,Y
236,MVP,1911,NL,tinkejo01,11.0,64.0,NULL,NULL,NULL,Y
237,Baseball Magazine All-Star,1911,ML,wagneho01,NULL,NULL,NULL,NULL,SS,N
238,Baseball Magazine All-Star,1911,NL,wagneho01,NULL,NULL,NULL,NULL,SS,N
239,MVP,1911,NL,wagneho01,23.0,64.0,NULL,NULL,NULL,Y
240,Baseball Magazine All-Star,1911,AL,walshed01,NULL,NULL,NULL,NULL,P2,N
241,Baseball Magazine All-Star,1911,ML,walshed01,NULL,NULL,NULL,NULL,P6,N
242,MVP,1911,AL,walshed01,35.0,64.0,0.0,NULL,NULL,Y
243,MVP,1911,NL,walshji01,2.0,64.0,0.0,NULL,NULL,Y
244,Baseball Magazine All-Star,1912,AL,ainsmed01,NULL,NULL,NULL,NULL,C2,N
245,MVP,1912,NL,alexape01,1.0,64.0,0.0,NULL,NULL,Y
246,Baseball Magazine All-Star,1912,ML,archeji01,NULL,NULL,NULL,NULL,C1,N
247,Baseball Magazine All-Star,1912,NL,archeji01,NULL,NULL,NULL,NULL,C1,N
248,MVP,1912,NL,archeji01,1.0,64.0,0.0,NULL,NULL,Y
249,MVP,1912,AL,bakerfr01,17.0,64.0,NULL,NULL,NULL,Y
250,MVP,1912,AL,barryja01,4.0,64.0,0.0,NULL,NULL,Y
251,MVP,1912,NL,beschbo01,17.0,64.0,NULL,NULL,NULL,Y
252,MVP,1912,AL,birmijo01,2.0,64.0,0.0,NULL,NULL,Y
253,MVP,1912,AL,carribi02,3.0,64.0,0.0,NULL,NULL,Y
254,Baseball Magazine All-Star,1912,AL,cobbty01,NULL,NULL,NULL,NULL,OF,N
255,Baseball Magazine All-Star,1912,ML,cobbty01,NULL,NULL,NULL,NULL,OF,N
256,MVP,1912,AL,cobbty01,17.0,64.0,NULL,NULL,NULL,Y
257,Baseball Magazine All-Star,1912,AL,collied01,NULL,NULL,NULL,NULL,2B,N
258,MVP,1912,AL,collied01,18.0,64.0,NULL,NULL,NULL,Y
259,MVP,1912,AL,crawfsa01,4.0,64.0,0.0,NULL,NULL,Y
260,MVP,1912,AL,daniebe01,1.0,64.0,0.0,NULL,NULL,Y
261,Baseball Magazine All-Star,1912,ML,daubeja01,NULL,NULL,NULL,NULL,1B,N
262,Baseball Magazine All-Star,1912,NL,daubeja01,NULL,NULL,NULL,NULL,1B,N
263,MVP,1912,NL,daubeja01,13.0,64.0,NULL,NULL,NULL,Y
264,Most Valuable Player,1912,NL,doylela01,NULL,NULL,NULL,NULL,NULL,N
265,MVP,1912,NL,doylela01,48.0,64.0,NULL,NULL,NULL,Y
266,Baseball Magazine All-Star,1912,ML,eversjo01,NULL,NULL,NULL,NULL,2B,N
267,Baseball Magazine All-Star,1912,NL,eversjo01,NULL,NULL,NULL,NULL,2B,N
268,MVP,1912,NL,eversjo01,2.0,64.0,0.0,NULL,NULL,Y
269,MVP,1912,AL,fosteed02,4.0,64.0,0.0,NULL,NULL,Y
270,MVP,1912,AL,gandich01,7.0,64.0,0.0,NULL,NULL,Y
271,Baseball Magazine All-Star,1912,AL,gardnla01,NULL,NULL,NULL,NULL,3B,N
272,MVP,1912,AL,gardnla01,4.0,64.0,0.0,NULL,NULL,Y
273,MVP,1912,NL,hendrcl01,2.0,64.0,0.0,NULL,NULL,Y
274,MVP,1912,NL,huggimi01,5.0,64.0,0.0,NULL,NULL,Y
275,Baseball Magazine All-Star,1912,AL,jacksjo01,NULL,NULL,NULL,NULL,OF,N
276,Baseball Magazine All-Star,1912,ML,jacksjo01,NULL,NULL,NULL,NULL,OF,N
277,MVP,1912,AL,jacksjo01,16.0,64.0,NULL,NULL,NULL,Y
278,Baseball Magazine All-Star,1912,AL,johnswa01,NULL,NULL,NULL,NULL,P1,N
279,Baseball Magazine All-Star,1912,ML,johnswa01,NULL,NULL,NULL,NULL,P1,N
280,MVP,1912,AL,johnswa01,28.0,64.0,NULL,NULL,NULL,Y
281,MVP,1912,NL,knabeot01,10.0,64.0,NULL,NULL,NULL,Y
282,MVP,1912,NL,koneted01,8.0,64.0,NULL,NULL,NULL,Y
283,Baseball Magazine All-Star,1912,NL,mageesh01,NULL,NULL,NULL,NULL,OF,N
284,MVP,1912,NL,marquru01,13.0,64.0,NULL,NULL,NULL,Y
285,MVP,1912,NL,marsaar01,4.0,64.0,0.0,NULL,NULL,Y
286,Baseball Magazine All-Star,1912,NL,mathech01,NULL,NULL,NULL,NULL,P2,N
287,MVP,1912,NL,mathech01,8.0,64.0,NULL,NULL,NULL,Y
288,MVP,1912,AL,mcbrige01,1.0,64.0,0.0,NULL,NULL,Y
289,Baseball Magazine All-Star,1912,AL,mcinnst01,NULL,NULL,NULL,NULL,1B,N
290,MVP,1912,AL,mcinnst01,1.0,64.0,0.0,NULL,NULL,Y
291,MVP,1912,NL,merklfr01,4.0,64.0,0.0,NULL,NULL,Y
292,Baseball Magazine All-Star,1912,ML,meyerch01,NULL,NULL,NULL,NULL,C2,N
293,Baseball Magazine All-Star,1912,NL,meyerch01,NULL,NULL,NULL,NULL,C2,N
294,MVP,1912,NL,meyerch01,25.0,64.0,NULL,NULL,NULL,Y
295,MVP,1912,AL,milancl01,23.0,64.0,NULL,NULL,NULL,Y
296,MVP,1912,AL,moellda01,1.0,64.0,0.0,NULL,NULL,Y
297,MVP,1912,AL,moriage02,3.0,64.0,0.0,NULL,NULL,Y
298,MVP,1912,NL,murrare01,5.0,64.0,0.0,NULL,NULL,Y
299,Baseball Magazine All-Star,1912,NL,paskedo01,NULL,NULL,NULL,NULL,OF,N
300,MVP,1912,NL,paskedo01,6.0,64.0,0.0,NULL,NULL,Y
301,Baseball Magazine All-Star,1912,AL,planked01,NULL,NULL,NULL,NULL,P3,N
302,MVP,1912,AL,prattde01,5.0,64.0,0.0,NULL,NULL,Y
303,Baseball Magazine All-Star,1912,ML,ruckena01,NULL,NULL,NULL,NULL,P2,N
304,Baseball Magazine All-Star,1912,NL,ruckena01,NULL,NULL,NULL,NULL,P3,N
305,MVP,1912,AL,shottbu01,6.0,64.0,0.0,NULL,NULL,Y
